,conversation_id,child_tweet_id,tweet_text
50,1455710059875368963,1455710758747004928,"@raisa6690 aaminn, doa baik berbalik🌻"
51,1455710059875368963,1455710679378268163,@raisa6690 Pagi ka yayaaa kapan collab sama ravi hihi https://t.co/cPMhNtyCdi
52,1455710059875368963,1455710673837514754,"@raisa6690 Misii kaka nitip yaaa 
Barangkali ada yang butuhh app prem1um nyaa ✨💞 https://t.co/6wmuiUlFFB"
53,1455710059875368963,1455710422124965892,@raisa6690 another month another exciting song
54,1455710059875368963,1455710407281106946,"@raisa6690 Amiin, terimakasih bu yaya"
55,1455710059875368963,1455710357784125440,"@raisa6690 morningg! thankyouu, u too kak yaay!"
56,1455710059875368963,1455710345259982852,@raisa6690 Aamiin. ✨
57,1455710059875368963,1455710291979767812,"@raisa6690 Good Morning ka Yaya, have a nice day✨"
58,1455710059875368963,1455710284367024128,@raisa6690 Good morning kak...😊😊
59,1455710059875368963,1455710272480432136,@raisa6690 Aamiin ya Rabb
60,1455710059875368963,1455710251097804805,"@raisa6690 morninggg kak yayaa

ijin nitip jualan yaa kak 🙏🏻
btw aku jual netflix, spotify, disney, youtube, dll. aman dan trustedd yuk yg minat bisa dm/wa yaah😻 https://t.co/6M6Q20vRBE"
61,1455710059875368963,1455710228633116674,@raisa6690 Iyaa kak yay
62,1455710059875368963,1455710227978883074,@raisa6690 Amiiinn semoga ya
63,1455710059875368963,1455710207472857094,"@raisa6690 morning kayaya, wish you a great day ahead!"
64,1455710059875368963,1455710132839452673,@raisa6690 Kak yay masak apaa niiii
